CKAND;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;POHLAVI;PLATNOST;HLASY_K1;ZVOLEN_K1;HLASY_K2;ZVOLEN_K2
1;"Pavel";"Fischer";"";"";57;"senátor Parlamentu České republiky";"Praha";1;99;998;0;"A";376705;0;0;0
2;"Jaroslav";"Bašta";"";"";74;"poslanec";"Praha";1;1114;997;0;"A";248375;0;0;0
3;"Josef";"Středula";"";"";55;"předseda ČMKOS";"Praha";1;99;998;0;"N";0;0;0;0
4;"Petr";"Pavel";"Ing.";"M.A.";61;"generál ve výslužbě";"Černouček";542423;99;999;0;"A";1975056;2;0;0
5;"Tomáš";"Zima";"prof. MUDr.";"DrSc.";56;"profesor vysoké školy, lékař";"Praha";1;99;998;0;"A";30769;0;0;0
6;"Danuše";"Nerudová";"prof. Ing.";"Ph.D.";44;"ekonomka, vysokoškolská pedagožka";"Kuřim";583251;99;999;1;"A";777080;0;0;0
7;"Andrej";"Babiš";"Ing.";"";68;"poslanec";"Průhonice";539571;768;997;0;"A";1952213;2;0;0
8;"Karel";"Diviš";"PhDr.";"";46;"výkonný ředitel IT firmy";"Praha";1;99;999;0;"A";75475;0;0;0
9;"Marek";"Hilšer";"MUDr. Bc.";"Ph.D.";46;"vysokoškolský učitel, senátor";"Praha";1;1194;998;0;"A";142912;0;0;0
